@nxr	Rel_Inc	NIIY	tby	tradey	totqn	resid_ave	resid_diff	resid_diff2	resid_ECM1	resid_ECM2	resid_ECM3	resid_ECM3srlr	resid_ECM3sr	resid_home	resid_foreign@
-0.3511643	-0.1711085	0.0034445	-0.0484451	0.2316407	-0.1838202	-0.0514802	0.0046056	-0.0622199	0.0070062	0.0051691	0.0076011	0.0076011	0.0030868	0.3864751	0.3940763
-0.3516353	-0.1637771	0.0041451	-0.0496895	0.2373349	-0.1581401	-0.066556	-0.0110213	-0.073553	-0.0103391	-0.0087366	-0.0052623	-0.0052623	-0.0059214	0.3883817	0.3831194
-0.3790926	-0.1712501	0.0059754	-0.0539827	0.2426704	-0.1821074	-0.0797521	-0.0163772	-0.090242	-0.0188573	-0.020188	-0.0193278	-0.0193278	-0.0169895	0.3950884	0.3757607
-0.3833912	-0.1764061	0.0051407	-0.0544436	0.2425162	-0.1650116	-0.0837367	-0.0011812	-0.0917352	-0.002603	-0.0054035	-0.0056102	-0.0056102	-0.0024947	0.3689127	0.3633025
-0.3827552	-0.1852877	0.0054622	-0.0551885	0.2461654	-0.1187264	-0.0873285	0.0034657	-0.0885814	0.0014823	-0.0046333	-0.0085715	-0.0085715	-0.0047679	0.3810945	0.3725231
-0.3792124	-0.1968362	0.0078941	-0.0549114	0.246782	-0.1195631	-0.0720002	0.0155183	-0.0733751	0.0101678	0.0056252	0.0042893	0.0042893	0.0112313	0.3706951	0.3749843
-0.3723055	-0.1875384	0.0023284	-0.0545838	0.2489858	-0.1277589	-0.0720698	-0.0009521	-0.0746391	-0.0053874	-0.0013044	-0.0019889	-0.0019889	0.0055195	0.373856	0.3718671
-0.3737909	-0.1865442	0.0012735	-0.054416	0.2474223	-0.1221624	-0.0761345	-0.0029371	-0.0778882	-0.0067225	-0.0066847	-0.014135	-0.014135	-0.01091	0.3599235	0.3457885
-0.3757123	-0.182225	0.0065955	-0.0559296	0.2532519	-0.1200269	-0.0829799	-0.0062223	-0.0844224	-0.0106127	-0.0090951	-0.0084238	-0.0084238	-0.0053198	0.394969	0.3865452
-0.3604159	-0.185118	0.0054035	-0.0549219	0.2571751	-0.1107664	-0.0674134	0.0172281	-0.0675062	0.0124134	0.010659	0.0147063	0.0147063	0.0220516	0.3901837	0.40489
-0.354023	-0.1743524	0.0057849	-0.0547719	0.2601925	-0.101658	-0.0743659	-0.0053132	-0.0731313	-0.0095582	-0.0059883	-0.0092015	-0.0092015	-0.0032075	0.3775734	0.3683719
-0.363658	-0.1685455	0.0056086	-0.0561337	0.2609598	-0.1042909	-0.0890621	-0.014768	-0.0882112	-0.0201324	-0.017845	-0.0192155	-0.0192155	-0.011957	0.3755137	0.3562982
-0.3227619	-0.1555407	0.0028131	-0.0515936	0.2638798	-0.1000173	-0.0623812	0.0276157	-0.0609074	0.021539	0.0262271	0.0238044	0.0238044	0.031799	0.368607	0.3924114
-0.3224467	-0.1379707	0.001331	-0.0523563	0.2679882	-0.1032381	-0.0787237	-0.0165	-0.0777194	-0.0211661	-0.014235	-0.0176793	-0.0176793	-0.013186	0.3802394	0.3625601
-0.309491	-0.1348398	0.0033291	-0.050793	0.2685619	-0.0772632	-0.0762558	0.0065654	-0.0714659	0.0015175	0.0010294	-0.0002082	-0.0002082	0.0042052	0.3738881	0.3736799
-0.2787784	-0.1256063	0.0033605	-0.0470664	0.2700612	-0.0454236	-0.0637947	0.0174134	-0.0543645	0.0113655	0.0127837	0.0144909	0.0144909	0.0216037	0.3750876	0.3895785
-0.2360704	-0.1076753	0.0015342	-0.0415294	0.2705482	0.014002	-0.0558488	0.0169184	-0.037758	0.0106417	0.0136465	0.0118551	0.0118551	0.0199717	0.3651796	0.3770347
-0.2332844	-0.0743701	-0.0013567	-0.0418887	0.2753292	0.0525429	-0.097284	-0.0355063	-0.0735763	-0.04455	-0.0345524	-0.0369892	-0.0369892	-0.0272402	0.3876959	0.3507067
-0.1947288	-0.0682895	-0.0017643	-0.0367832	0.2760343	0.0935335	-0.0764187	0.0271512	-0.0467371	0.0135383	0.0124983	0.0098724	0.0098724	0.0227089	0.374029	0.3839014
-0.1877098	-0.0515578	-0.00139	-0.0353823	0.2725757	0.0802923	-0.0823811	-0.0075802	-0.0546293	-0.022821	-0.0165951	-0.0138865	-0.0138865	-0.0003959	0.3655176	0.3516312
-0.2025081	-0.0417278	-0.0046237	-0.0363793	0.2653978	-0.0506382	-0.0699259	-0.0063145	-0.0612557	-0.0234655	-0.0127561	-0.0071984	-0.0071984	0.0061938	0.3287867	0.3215883
-0.1843717	-0.0518863	-0.0100522	-0.0314017	0.2450084	-0.1238125	-0.0209058	0.0386677	-0.0229	0.0298029	0.0298571	0.0308177	0.0308177	0.0335812	0.2583832	0.2892009
-0.1400792	-0.0065153	-0.0132423	-0.0255162	0.2399837	-0.0713073	-0.0368554	-0.0079856	-0.0311975	-0.0077307	0.0068678	0.008094	0.008094	-0.0004523	0.322647	0.330741
